,PseudoTime
M2IA_CELL_10,0.011202
M2IA_CELL_11,0.02446
M2IA_CELL_12,0.013835
M2IA_CELL_14,0.0725
M2IA_CELL_15,0.004479
M2IA_CELL_18,0.019142
M2IA_CELL_19,0.035321
M2IA_CELL_1,0.013806
M2IA_CELL_20,0.029426
M2IA_CELL_21,0.019236
M2IA_CELL_22,0.069377
M2IA_CELL_23,0.089212
M2IA_CELL_24,0.021779
M2IA_CELL_25,0.054252
M2IA_CELL_26,0.054205
M2IA_CELL_27,0.017324
M2IA_CELL_28,0.046347
M2IA_CELL_2,0.113266
M2IA_CELL_30,0.020794
M2IA_CELL_31,0.067326
M2IA_CELL_35,0.022019
M2IA_CELL_36,0.050039
M2IA_CELL_37,0.036882
M2IA_CELL_38,0.064351
M2IA_CELL_39,0.055683
M2IA_CELL_40,0.061495
M2IA_CELL_41,0.070507
M2IA_CELL_42,0.065242
M2IA_CELL_44,0.089094
M2IA_CELL_45,0.119207
M2IA_CELL_46,0.070491
M2IA_CELL_49,0.026579
M2IA_CELL_4,0.013868
M2IA_CELL_50,0.029389
M2IA_CELL_51,0.030907
M2IA_CELL_52,0.029243
M2IA_CELL_53,0.028948
M2IA_CELL_54,0.033068
M2IA_CELL_55,0.003539
M2IA_CELL_57,0.066191
M2IA_CELL_59,0.06786
M2IA_CELL_5,0.007266
M2IA_CELL_60,0.033778
M2IA_CELL_61,0.085559
M2IA_CELL_62,0.048591
M2IA_CELL_63,0.033766
M2IA_CELL_64,0.0
M2IA_CELL_65,0.047072
M2IA_CELL_66,0.012369
M2IA_CELL_68,0.041377
M2IA_CELL_69,0.045565
M2IA_CELL_6,0.019386
M2IA_CELL_70,0.073327
M2IA_CELL_71,0.026461
M2IA_CELL_72,0.00802
M2IA_CELL_73,0.080674
M2IA_CELL_74,0.023274
M2IA_CELL_75,0.02614
M2IA_CELL_76,0.084914
M2IA_CELL_77,0.060603
M2IA_CELL_79,0.057519
M2IA_CELL_7,0.005615
M2IA_CELL_80,0.029645
M2IA_CELL_81,0.082826
M2IA_CELL_82,0.056011
M2IA_CELL_83,0.027666
M2IA_CELL_84,0.02968
M2IA_CELL_86,0.029338
M2IA_CELL_87,0.026438
M2IA_CELL_89,0.032116
M2IA_CELL_90,0.022357
M2IA_CELL_91,0.021174
M2IA_CELL_94,0.020586
M2IA_CELL_95,0.024861
M2IA_CELL_96,0.103877
M2IB_CELL_10,0.942974
M2IB_CELL_11,0.991942
M2IB_CELL_12,0.950271
M2IB_CELL_13,0.945449
M2IB_CELL_14,0.942447
M2IB_CELL_15,0.973319
M2IB_CELL_16,0.955713
M2IB_CELL_17,0.982197
M2IB_CELL_18,0.993927
M2IB_CELL_1,0.971906
M2IB_CELL_20,0.98999
M2IB_CELL_21,0.976438
M2IB_CELL_22,0.942843
M2IB_CELL_23,0.97234
M2IB_CELL_24,0.967636
M2IB_CELL_25,0.976834
M2IB_CELL_26,0.976301
M2IB_CELL_27,0.998003
M2IB_CELL_28,0.915356
M2IB_CELL_29,0.961965
M2IB_CELL_30,0.960592
M2IB_CELL_31,0.98197
M2IB_CELL_33,0.995362
M2IB_CELL_34,0.996475
M2IB_CELL_35,0.985004
M2IB_CELL_36,1.0
M2IB_CELL_37,0.968056
M2IB_CELL_39,0.994434
M2IB_CELL_40,0.956091
M2IB_CELL_42,0.958291
M2IB_CELL_45,0.965304
M2IB_CELL_47,0.946118
M2IB_CELL_4,0.943604
M2IB_CELL_50,0.978217
M2IB_CELL_52,0.999122
M2IB_CELL_53,0.896612
M2IB_CELL_54,0.98672
M2IB_CELL_55,0.941592
M2IB_CELL_56,0.976137
M2IB_CELL_58,0.968706
M2IB_CELL_59,0.902995
M2IB_CELL_5,0.956984
M2IB_CELL_60,0.944192
M2IB_CELL_61,0.953503
M2IB_CELL_64,0.976696
M2IB_CELL_65,0.936716
M2IB_CELL_66,0.900852
M2IB_CELL_67,0.949505
M2IB_CELL_68,0.978777
M2IB_CELL_70,0.989547
M2IB_CELL_71,0.940294
M2IB_CELL_72,0.934156
M2IB_CELL_74,0.999674
M2IB_CELL_75,0.980263
M2IB_CELL_76,0.994409
M2IB_CELL_77,0.990517
M2IB_CELL_78,0.96248
M2IB_CELL_7,0.930314
M2IB_CELL_80,0.905092
M2IB_CELL_81,0.968803
M2IB_CELL_82,0.999867
M2IB_CELL_83,0.970807
M2IB_CELL_84,0.994769
M2IB_CELL_86,0.923243
M2IB_CELL_88,0.955875
M2IB_CELL_89,0.962376
M2IB_CELL_8,0.508408
M2IB_CELL_90,0.985615
M2IB_CELL_92,0.990825
M2IB_CELL_94,0.970759
M2IB_CELL_95,0.99032
M2IB_CELL_96,0.966366
M2IB_CELL_9,0.968219
MSERUMA_CELL_10,0.398543
MSERUMA_CELL_12,0.40922
MSERUMA_CELL_13,0.402695
MSERUMA_CELL_14,0.430634
MSERUMA_CELL_15,0.431801
MSERUMA_CELL_16,0.433134
MSERUMA_CELL_18,0.429717
MSERUMA_CELL_19,0.42706
MSERUMA_CELL_1,0.408465
MSERUMA_CELL_20,0.422114
MSERUMA_CELL_21,0.42352
MSERUMA_CELL_22,0.433711
MSERUMA_CELL_23,0.454726
MSERUMA_CELL_24,0.392275
MSERUMA_CELL_25,0.445388
MSERUMA_CELL_26,0.451956
MSERUMA_CELL_27,0.428095
MSERUMA_CELL_29,0.421464
MSERUMA_CELL_2,0.429206
MSERUMA_CELL_30,0.43185
MSERUMA_CELL_31,0.415391
MSERUMA_CELL_33,0.434403
MSERUMA_CELL_35,0.431462
MSERUMA_CELL_36,0.400555
MSERUMA_CELL_37,0.432604
MSERUMA_CELL_38,0.46999
MSERUMA_CELL_3,0.430182
MSERUMA_CELL_41,0.445019
MSERUMA_CELL_42,0.394785
MSERUMA_CELL_43,0.429342
MSERUMA_CELL_45,0.444969
MSERUMA_CELL_49,0.42931
MSERUMA_CELL_4,0.42133
MSERUMA_CELL_51,0.399068
MSERUMA_CELL_52,0.399454
MSERUMA_CELL_53,0.399255
MSERUMA_CELL_54,0.430427
MSERUMA_CELL_55,0.427818
MSERUMA_CELL_57,0.428819
MSERUMA_CELL_58,0.395406
MSERUMA_CELL_59,0.381238
MSERUMA_CELL_60,0.438083
MSERUMA_CELL_63,0.420491
MSERUMA_CELL_65,0.41988
MSERUMA_CELL_66,0.429825
MSERUMA_CELL_67,0.433409
MSERUMA_CELL_69,0.431026
MSERUMA_CELL_6,0.414805
MSERUMA_CELL_71,0.429168
MSERUMA_CELL_73,0.420032
MSERUMA_CELL_76,0.430093
MSERUMA_CELL_77,0.466723
MSERUMA_CELL_78,0.422822
MSERUMA_CELL_7,0.44054
MSERUMA_CELL_81,0.444967
MSERUMA_CELL_82,0.434611
MSERUMA_CELL_83,0.412568
MSERUMA_CELL_84,0.428578
MSERUMA_CELL_87,0.445989
MSERUMA_CELL_88,0.450043
MSERUMA_CELL_8,0.407209
MSERUMA_CELL_91,0.436399
MSERUMA_CELL_9,0.410138
MSERUMB_CELL_10,0.246908
MSERUMB_CELL_11,0.38802
MSERUMB_CELL_12,0.370471
MSERUMB_CELL_14,0.370391
MSERUMB_CELL_15,0.379659
MSERUMB_CELL_16,0.397816
MSERUMB_CELL_17,0.309721
MSERUMB_CELL_19,0.38608
MSERUMB_CELL_1,0.330739
MSERUMB_CELL_21,0.228751
MSERUMB_CELL_22,0.383031
MSERUMB_CELL_23,0.388448
MSERUMB_CELL_24,0.308614
MSERUMB_CELL_25,0.226345
MSERUMB_CELL_27,0.324722
MSERUMB_CELL_28,0.380137
MSERUMB_CELL_2,0.37335
MSERUMB_CELL_33,0.365521
MSERUMB_CELL_35,0.381507
MSERUMB_CELL_37,0.261428
MSERUMB_CELL_38,0.372502
MSERUMB_CELL_39,0.385279
MSERUMB_CELL_40,0.380934
MSERUMB_CELL_41,0.38551
MSERUMB_CELL_42,0.38066
MSERUMB_CELL_43,0.392143
MSERUMB_CELL_44,0.237628
MSERUMB_CELL_45,0.377243
MSERUMB_CELL_49,0.547291
MSERUMB_CELL_50,0.372396
MSERUMB_CELL_51,0.24909
MSERUMB_CELL_52,0.382823
MSERUMB_CELL_55,0.376497
MSERUMB_CELL_59,0.343353
MSERUMB_CELL_5,0.376918
MSERUMB_CELL_60,0.38541
MSERUMB_CELL_62,0.259769
MSERUMB_CELL_63,0.387482
MSERUMB_CELL_65,0.381324
MSERUMB_CELL_66,0.391978
MSERUMB_CELL_68,0.383248
MSERUMB_CELL_70,0.373467
MSERUMB_CELL_71,0.396044
MSERUMB_CELL_73,0.378008
MSERUMB_CELL_74,0.376753
MSERUMB_CELL_75,0.517514
MSERUMB_CELL_76,0.393177
MSERUMB_CELL_77,0.350742
MSERUMB_CELL_78,0.391239
MSERUMB_CELL_79,0.387652
MSERUMB_CELL_7,0.344543
MSERUMB_CELL_80,0.383356
MSERUMB_CELL_81,0.391446
MSERUMB_CELL_82,0.386751
MSERUMB_CELL_84,0.304001
MSERUMB_CELL_85,0.382396
MSERUMB_CELL_86,0.377525
MSERUMB_CELL_87,0.361781
MSERUMB_CELL_88,0.386605
MSERUMB_CELL_89,0.346798
MSERUMB_CELL_90,0.385837
MSERUMB_CELL_92,0.378011
MSERUMB_CELL_93,0.375318
MSERUMB_CELL_94,0.379883
MSERUMB_CELL_96,0.093821
MSERUMB_CELL_9,0.352481
DAY6A_CELL_10,0.665587
DAY6A_CELL_11,0.667144
DAY6A_CELL_13,0.659225
DAY6A_CELL_15,0.661567
DAY6A_CELL_16,0.667047
DAY6A_CELL_17,0.664377
DAY6A_CELL_1,0.651323
DAY6A_CELL_21,0.661486
DAY6A_CELL_22,0.664107
DAY6A_CELL_23,0.664109
DAY6A_CELL_24,0.662768
DAY6A_CELL_25,0.668861
DAY6A_CELL_26,0.658416
DAY6A_CELL_27,0.662284
DAY6A_CELL_28,0.658548
DAY6A_CELL_30,0.654614
DAY6A_CELL_31,0.664501
DAY6A_CELL_32,0.665969
DAY6A_CELL_33,0.657981
DAY6A_CELL_35,0.656635
DAY6A_CELL_37,0.665475
DAY6A_CELL_39,0.625473
DAY6A_CELL_40,0.662448
DAY6A_CELL_41,0.656256
DAY6A_CELL_43,0.660548
DAY6A_CELL_46,0.65744
DAY6A_CELL_47,0.616289
DAY6A_CELL_50,0.66585
DAY6A_CELL_51,0.651933
DAY6A_CELL_52,0.654461
DAY6A_CELL_53,0.525474
DAY6A_CELL_55,0.622263
DAY6A_CELL_56,0.665777
DAY6A_CELL_58,0.662009
DAY6A_CELL_59,0.651745
DAY6A_CELL_5,0.6685
DAY6A_CELL_60,0.66193
DAY6A_CELL_61,0.668273
DAY6A_CELL_63,0.667544
DAY6A_CELL_64,0.66873
DAY6A_CELL_65,0.492593
DAY6A_CELL_68,0.664546
DAY6A_CELL_6,0.656051
DAY6A_CELL_70,0.662567
DAY6A_CELL_71,0.658371
DAY6A_CELL_73,0.656608
DAY6A_CELL_75,0.668731
DAY6A_CELL_76,0.667831
DAY6A_CELL_78,0.655415
DAY6A_CELL_7,0.661331
DAY6A_CELL_80,0.66165
DAY6A_CELL_81,0.651461
DAY6A_CELL_82,0.662394
DAY6A_CELL_83,0.656223
DAY6A_CELL_84,0.656176
DAY6A_CELL_85,0.657225
DAY6A_CELL_89,0.668062
DAY6A_CELL_92,0.65772
DAY6A_CELL_93,0.655448
DAY6A_CELL_94,0.664959
DAY6A_CELL_95,0.667562
DAY6A_CELL_96,0.654324
DAY6A_CELL_9,0.665747
DAY8A_CELL_10,0.616949
DAY8A_CELL_11,0.654602
DAY8A_CELL_12,0.658363
DAY8A_CELL_13,0.653405
DAY8A_CELL_16,0.663146
DAY8A_CELL_17,0.663844
DAY8A_CELL_18,0.641256
DAY8A_CELL_19,0.653152
DAY8A_CELL_20,0.665541
DAY8A_CELL_22,0.647923
DAY8A_CELL_23,0.64983
DAY8A_CELL_24,0.662149
DAY8A_CELL_26,0.635245
DAY8A_CELL_27,0.61476
DAY8A_CELL_28,0.661869
DAY8A_CELL_29,0.63961
DAY8A_CELL_30,0.642146
DAY8A_CELL_31,0.626403
DAY8A_CELL_32,0.665319
DAY8A_CELL_34,0.66509
DAY8A_CELL_36,0.609456
DAY8A_CELL_40,0.635597
DAY8A_CELL_41,0.649301
DAY8A_CELL_42,0.649368
DAY8A_CELL_51,0.66193
DAY8A_CELL_52,0.656415
DAY8A_CELL_53,0.66416
DAY8A_CELL_54,0.621544
DAY8A_CELL_55,0.648382
DAY8A_CELL_57,0.657587
DAY8A_CELL_58,0.665027
DAY8A_CELL_60,0.624925
DAY8A_CELL_61,0.642537
DAY8A_CELL_64,0.644269
DAY8A_CELL_65,0.662499
DAY8A_CELL_66,0.627488
DAY8A_CELL_67,0.633668
DAY8A_CELL_71,0.647868
DAY8A_CELL_72,0.630196
DAY8A_CELL_73,0.652145
DAY8A_CELL_75,0.636491
DAY8A_CELL_76,0.633203
DAY8A_CELL_77,0.638432
DAY8A_CELL_79,0.868087
DAY8A_CELL_7,0.660865
DAY8A_CELL_80,0.616561
DAY8A_CELL_81,0.625173
DAY8A_CELL_82,0.640041
DAY8A_CELL_83,0.768697
DAY8A_CELL_86,0.652531
DAY8A_CELL_88,0.640423
DAY8A_CELL_89,0.650653
DAY8A_CELL_8,0.662175
DAY8A_CELL_90,0.62229
DAY8A_CELL_94,0.652891
DAY8A_CELL_95,0.650639
DAY8A_CELL_96,0.635686
DAY8B_CELL_10,0.64693
DAY8B_CELL_11,0.653028
DAY8B_CELL_12,0.664848
DAY8B_CELL_15,0.643886
DAY8B_CELL_16,0.667637
DAY8B_CELL_17,0.654686
DAY8B_CELL_18,0.657279
DAY8B_CELL_19,0.657227
DAY8B_CELL_1,0.665789
DAY8B_CELL_20,0.660925
DAY8B_CELL_21,0.659681
DAY8B_CELL_22,0.667374
DAY8B_CELL_24,0.657739
DAY8B_CELL_25,0.658718
DAY8B_CELL_29,0.663696
DAY8B_CELL_2,0.660951
DAY8B_CELL_30,0.657901
DAY8B_CELL_31,0.573157
DAY8B_CELL_35,0.658244
DAY8B_CELL_36,0.666893
DAY8B_CELL_37,0.658552
DAY8B_CELL_3,0.665808
DAY8B_CELL_40,0.644269
DAY8B_CELL_41,0.660693
DAY8B_CELL_43,0.662379
DAY8B_CELL_45,0.663277
DAY8B_CELL_46,0.667573
DAY8B_CELL_49,0.639801
DAY8B_CELL_4,0.66681
DAY8B_CELL_50,0.661313
DAY8B_CELL_54,0.639399
DAY8B_CELL_55,0.66382
DAY8B_CELL_56,0.631346
DAY8B_CELL_57,0.662326
DAY8B_CELL_58,0.66017
DAY8B_CELL_59,0.660648
DAY8B_CELL_5,0.665842
DAY8B_CELL_60,0.656461
DAY8B_CELL_61,0.650522
DAY8B_CELL_62,0.647195
DAY8B_CELL_64,0.660215
DAY8B_CELL_66,0.65296
DAY8B_CELL_67,0.657637
DAY8B_CELL_6,0.640902
DAY8B_CELL_70,0.640514
DAY8B_CELL_71,0.660936
DAY8B_CELL_73,0.660057
DAY8B_CELL_76,0.662287
DAY8B_CELL_77,0.660242
DAY8B_CELL_78,0.592636
DAY8B_CELL_80,0.664762
DAY8B_CELL_81,0.643396
DAY8B_CELL_84,0.660105
DAY8B_CELL_85,0.629217
DAY8B_CELL_86,0.654236
DAY8B_CELL_87,0.668105
DAY8B_CELL_88,0.668508
DAY8B_CELL_89,0.64732
DAY8B_CELL_90,0.660275
DAY8B_CELL_94,0.6638
DAY8B_CELL_95,0.660578
DAY8B_CELL_96,0.667229
